ACS Alaska	[phone number]@msg.acsalaska.com
Alltel	[phone number]@message.alltel.com
Ameritech	[phone number]@paging.acswireless.com
Arch	[phone number]@archwireless.net
AT&T	[phone number]@txt.att.net
Bell Canada	[phone number]@txt.bellmobility.ca
Blue Sky Frog	[phone number]@blueskyfrog.com
Boost	[phone number]@myboostmobile.com
Carolina West	[phone number]@cwwsms.com
Cellular One	[phone number]@mobile.celloneusa.com
Cellular South	[phone number]@csouth1.com
Cincinnati Bell	[phone number]@gocbw.com
Cingular	[phone number]@mobile.mycingular.com
Cingular Blue	[phone number]@mmode.com
Claro	[phone number]@clarotorpedo.com.br
Comviq	[phone number]@sms.comviq.se
Cricket	[phone number]@mms.mycricket.com
Edge	[phone number]@sms.edgewireless.com
Einstein PCS	[phone number]@einsteinsms.com
Fido	[phone number]@fido.ca
Immix	[phone number]@immixmail.com
Metro PCS	[phone number]@mymetropcs.com
Mobile One	[phone number]@m1.com.sg
MTN Africa	[phone number]@sms.co.za
Nextel	[phone number]@messaging.nextel.com
Ntelos	[phone number]@pcs.ntelos.com
Optus	[phone number]@optusmobile.com.au
Orange	[phone number]@orange.net
Orange Poland	[phone number]@orange.pl
Plus Poland	[phone number]@text.plusgsm.pl
Qwest	[phone number]@qwestmp.com
Rogers	[phone number]@pcs.rogers.com
Sasktel	[phone number]@pcs.sasktelmobility.com
Smart	[phone number]@mysmart.mymobile.ph
Smart Telecom	[phone number]@mysmart.mymobile.ph
Southern Linc	[phone number]@page.southernlinc.com
Sprint	[phone number]@messaging.sprintpcs.com
SunCom	[phone number]@tms.suncom.com
Sure West	[phone number]@mobile.surewest.com
SwissCom	[phone number]@bluewin.ch
T Mobile	[phone number]@tmomail.net
T Mobile (Ger)	[phone number]@T-D1-SMS.de
T Mobile UK	[phone number]@t-mobile.uk.net
TBayTel	[phone number]@tbayteltxt.net
Telenor	[phone number]@mobilpost.no
Telus	[phone number]@msg.telus.com
Tim	[phone number]@timnet.com
Unicel	[phone number]@utext.com
V Mobile CA	[phone number]@vmobile.ca
Verizon	[phone number]@vtext.com
Virgin Mobile	[phone number]@vmobl.com
Vodacom Africa	[phone number]@voda.co.za
Vodafone	[phone number]@vodafone.net
Vodafone Italy	[phone number]@sms.vodafone.it
WellCom	[phone number]@sms.welcome2well.com
